Measurement,Byte,ACCESS,Binary,First_4_MSBs
201,179,0,10110011,1011
463,184,0,10111000,1011
479,190,0,10111110,1011
476,187,0,10111011,1011
468,190,0,10111110,1011
480,186,0,10111010,1011
467,186,0,10111010,1011
482,190,0,10111110,1011
472,190,0,10111110,1011
479,189,0,10111101,1011
477,191,0,10111111,1011
476,189,0,10111101,1011
486,177,0,10110001,1011
503,177,0,10110001,1011
196,180,0,10110100,1011
478,189,0,10111101,1011
560,183,0,10110111,1011
595,180,0,10110100,1011
609,190,0,10111110,1011
578,187,0,10111011,1011
